authors_char_id,author,male,phd_inst,phd_year,jel1_author,jel2_author,editor
1,1,0,PRINCETON,1995,H,I,0
2,2,1,STANFORD,1993,K,L,0
3,3,1,HARVARD,1995,E,F,0
4,4,1,UPENN,2002,G,F,0
5,5,1,HARVARD,1988,O,D,0
6,6,1,HEBREW,1977,D,C,0
7,7,1,MIT,2001,E,J,0
8,8,1,HARVARD,1985,D,L,0
9,9,1,MINNESOTA,2003,E,C,0
10,10,0,COLUMBIA,2001,I,J,0
11,11,1,NORTHWESTERN,1995,D,C,0
12,12,0,LSE,1990,J,I,0
13,13,0,HEBREW,2005,C,,0
14,14,1,AMHERST,1991,G,,0
15,15,1,NEW ECONOMIC SCHOOL,2000,D,L,0
16,16,1,ILLINOIS,1996,D,H,0
17,17,1,PARIS,1981,C,,0
18,18,1,HARVARD,1987,J,I,0
19,19,1,OXFORD,2000,G,,0
20,20,1,HARVARD,1978,H,K,0
21,21,1,HARVARD,1992,F,E,0
22,22,1,UPENN,1985,I,L,0
23,23,1,MIT,1971,H,E,0
24,24,1,MIT,1999,D,G,0
25,25,1,WARWICK,1985,C,,0
26,26,1,MINNESOTA,1987,C,E,0
27,27,1,BARCELONA,1983,C,,0
28,28,1,MIT,1999,C,H,0
29,29,1,HARVARD,1986,H,O,1
30,30,1,BOCCONI,1997,D,,0
31,31,1,CHICAGO,1993,D,G,0
32,32,1,MINNESOTA,1987,D,H,0
33,33,1,MINNESOTA,2003,E,H,0
34,34,0,UPENN,2000,D,J,0
35,35,1,NORTHWESTERN,1995,D,H,0
36,36,1,TOULOUSE,2001,D,L,0
37,37,1,PURDUE,1985,C,,0
38,38,1,PRINCETON,,,,0
39,39,1,BERKELEY,1974,N,,0
40,40,1,CHICAGO,2003,J,O,0
41,41,1,VIRGINIA,1996,E,,0
42,42,1,PRINCETON,1997,G,E,0
43,43,1,PRINCETON,2004,J,,0
44,44,1,PURDUE,2003,F,L,0
45,45,1,STANFORD,2001,D,,0
46,46,1,BUDAPEST,2003,J,,0
47,47,1,BERKELEY,1976,C,D,0
48,48,1,COLORADO,1986,I,H,0
49,49,1,CHICAGO,1998,G,,0
50,50,1,CHICAGO,1981,J,I,0
51,51,1,COLUMBIA,2003,D,C,0
52,52,1,UPENN,1996,H,D,0
53,53,1,STANFORD,1974,D,C,0
54,54,1,COLUMBIA,1988,O,F,0
55,55,1,MARYLAND,1995,F,E,0
56,56,1,MICHIGAN,1998,L,D,0
57,57,1,CHICAGO,1994,G,E,0
58,58,1,ILLINOIS,1989,C,L,0
59,59,0,MIT,2001,H,I,0
60,60,0,UNKNOWN,2000,D,Q,0
61,61,1,ROCHESTER,2000,E,,0
62,62,1,MANCHESTER,1981,Q,,0
63,63,1,STOCKHOLM,1981,J,I,0
64,64,1,COPENHAGEN,1996,G,C,0
65,65,1,BERKELEY,1980,C,,0
66,66,1,MIT,1990,J,I,0
67,67,1,UPENN,1998,J,H,0
68,68,1,STANFORD,1997,L,D,0
69,69,1,PRINCETON,2004,E,,0
70,70,1,HEIDELBERG,2000,Q,D,0
71,71,1,BONN,2003,D,L,0
72,72,1,MIT,1986,K,G,0
73,73,1,MINNESOTA,1972,D,,0
74,74,1,MIT,1993,H,G,0
75,75,1,STANFORD,1988,F,E,0
76,76,1,MIT,1978,E,G,0
77,77,1,STANFORD,1991,F,D,0
78,78,1,YALE,1981,D,E,0
79,79,1,BIRMINGHAM,1970,C,,0
80,80,1,BERKELEY,1988,J,O,0
81,81,1,CASE WESTERN,1972,L,K,0
82,82,1,OXFORD,1980,J,D,0
83,83,1,MIT,1986,F,G,0
84,84,1,STANFORD,1989,E,C,0
85,85,1,PRINCETON,1982,D,L,0
86,86,1,HARVARD,1994,G,,0
87,87,1,NORTHWESTERN,1974,D,,1
88,88,1,NYU,1973,D,C,0
89,89,1,HARVARD,1984,G,C,0
90,90,1,WARSAW,1975,C,,0
91,91,1,ROCHESTER,2000,D,,0
92,92,1,COLUMBIA,1989,E,H,0
93,93,1,Technion-Israel,1996,C,D,0
94,94,1,MIT,1996,E,G,0
95,95,0,CALTECH,2001,H,D,0
96,96,1,MIT,1989,G,E,1
97,97,0,STANFORD,2000,O,I,0
98,98,0,BONN,1996,H,I,0
99,99,0,BARCELONA,1998,C,,0
100,100,0,CHICAGO,1994,G,O,0
101,101,0,PRINCETON,1992,G,E,0
102,102,0,PRINCETON,1988,H,J,0
103,103,0,MINNESOTA,1986,G,E,0
104,104,0,MIT,1998,G,E,0
105,105,0,CORNELL,1994,H,J,0
106,106,1,,1995,Q,,0
107,107,1,PARIS,1984,C,D,0
108,108,1,PARIS,1993,D,I,0
109,109,1,TOULOUSE,1995,L,D,0
110,110,0,CHICAGO,2000,G,L,0
111,111,1,MINNESOTA,1975,D,,0
112,112,1,UPF,2000,C,D,0
113,113,1,HARVARD,1993,F,O,0
114,114,1,UCSD,1993,D,L,0
115,115,1,STANFORD,1994,E,F,0
116,116,1,STANFORD,1994,G,,0
117,117,1,HARVARD,1993,E,F,0
118,118,1,NYU,2002,G,D,0
119,119,1,UCL,1998,D,C,0
120,120,1,NYU,1992,H,D,0
121,121,1,HARVARD,1997,D,H,0
122,122,1,TILBURG,1992,D,,0
123,123,1,CHICAGO,2003,K,I,0
124,124,1,PRINCETON,2004,O,C,0
125,125,1,NORTHWESTERN,2002,E,,0
126,126,1,HARVARD,1979,C,L,0
127,127,1,HEBREW,1979,C,D,0
128,128,1,NORTHWESTERN,2005,L,,0
129,129,1,PRINCETON,2002,O,D,0
130,130,1,HARVARD,1997,G,,0
131,131,1,ZURICH,1999,D,H,0
132,132,1,BERKELEY,1998,Q,,0
133,133,1,,,,,0
134,134,1,MIT,1974,C,D,0
135,135,1,MIT,1984,C,,0
136,136,1,HARVARD,1983,G,E,0
137,137,1,PRINCETON,1987,C,D,0
138,138,1,MIT,1998,G,F,0
139,139,1,STANFORD,1980,D,L,0
140,140,1,BU,1988,G,,0
141,141,1,HARVARD,2001,G,O,0
142,142,1,CHICAGO,1969,F,O,0
143,143,1,SSE,1963,E,O,0
144,144,1,MIT,1990,E,,0
145,145,1,MIT,2001,G,O,0
