authors_jobs_id,author,year,faculty,faculty_position
1,1,1991,PRINCETON,PHD
2,1,1992,PRINCETON,PHD
3,1,1993,PRINCETON,PHD
4,1,1994,PRINCETON,PHD
5,1,1995,TORONTO,ASSISTANT
6,1,1996,TORONTO,ASSISTANT
7,1,1997,TORONTO,ASSISTANT
8,1,1998,TORONTO,ASSISTANT
9,1,1999,ILLINOIS,ASSISTANT
10,1,2000,ILLINOIS,ASSISTANT
11,1,2001,ILLINOIS,ASSISTANT
12,1,2002,ILLINOIS,ASSISTANT
13,1,2003,MCMASTER,ASSOCIATE
14,1,2004,MCMASTER,ASSOCIATE
15,1,2005,MCMASTER,ASSOCIATE
16,1,2006,MCMASTER,ASSOCIATE
17,1,2007,MCMASTER,ASSOCIATE
18,1,2008,MCMASTER,PROFESSOR
19,1,2009,MCMASTER,PROFESSOR
20,2,1989,STANFORD,PHD
21,2,1990,STANFORD,PHD
22,2,1991,STANFORD,PHD
23,2,1992,STANFORD,PHD
24,2,1993,BERKELEY,ASSISTANT
25,2,1994,BERKELEY,ASSISTANT
26,2,1995,BERKELEY,ASSISTANT
27,2,1996,BERKELEY,ASSOCIATE
28,2,1997,BERKELEY,ASSOCIATE
29,2,1998,BERKELEY,ASSOCIATE
30,2,1999,BERKELEY,ASSOCIATE
31,2,2000,BERKELEY,PROFESSOR
32,2,2001,BERKELEY,PROFESSOR
33,2,2002,BERKELEY,PROFESSOR
34,2,2003,BERKELEY,PROFESSOR
35,2,2004,BERKELEY,PROFESSOR
36,2,2005,BERKELEY,PROFESSOR
37,2,2006,BERKELEY,PROFESSOR
38,3,1991,HARVARD,PHD
39,3,1992,HARVARD,PHD
40,3,1993,HARVARD,PHD
41,3,1994,HARVARD,PHD
42,3,1995,WORLD BANK,ECONOMIST
43,3,1996,WORLD BANK,ECONOMIST
44,3,1997,WORLD BANK,ECONOMIST
45,3,1998,WORLD BANK,ECONOMIST
46,3,1999,WORLD BANK,ECONOMIST
47,3,2000,WORLD BANK,ECONOMIST
48,3,2001,WORLD BANK,ECONOMIST
49,3,2002,WORLD BANK,ECONOMIST
50,3,2003,WORLD BANK,ECONOMIST
51,3,2004,WORLD BANK,ECONOMIST
52,3,2005,WORLD BANK,ECONOMIST
53,3,2006,WORLD BANK,ECONOMIST
54,4,1998,UPENN,PHD
55,4,1999,UPENN,PHD
56,4,2000,UPENN,PHD
57,4,2001,UPENN,PHD
58,4,2002,IMF,ECONOMIST
59,4,2003,IMF,ECONOMIST
60,4,2004,IMF,ECONOMIST
61,4,2005,IMF,ECONOMIST
62,4,2006,IMF,ECONOMIST
63,5,1984,HARVARD,PHD
64,5,1985,HARVARD,PHD
65,5,1986,HARVARD,PHD
66,5,1987,HARVARD,PHD
67,5,1988,PRINCETON,ASSISTANT
68,5,1989,PRINCETON,ASSISTANT
69,5,1990,PRINCETON,ASSISTANT
70,5,1991,PRINCETON,ASSISTANT
71,5,1992,PRINCETON,ASSISTANT
72,5,1993,MIT,ASSISTANT
73,5,1994,MIT,ASSOCIATE
74,5,1995,MIT,ASSOCIATE
75,5,1996,MIT,ASSOCIATE
76,5,1997,MIT,PROFESSOR
77,5,1998,MIT,PROFESSOR
78,5,1999,MIT,PROFESSOR
79,5,2000,MIT,PROFESSOR
80,5,2001,MIT,PROFESSOR
81,5,2002,MIT,PROFESSOR
82,5,2003,MIT,PROFESSOR
83,5,2004,MIT,PROFESSOR
84,5,2005,MIT,PROFESSOR
85,5,2006,MIT,PROFESSOR
86,6,1973,HEBREW,PHD
87,6,1974,HEBREW,PHD
88,6,1975,HEBREW,PHD
89,6,1976,HEBREW,PHD
90,6,1977,CORNELL,POST DOC
91,6,1978,BERKELEY,ASSISTANT
92,6,1979,BERKELEY,ASSISTANT
93,6,1980,BERKELEY,ASSISTANT
94,6,1981,BERKELEY,ASSISTANT
95,6,1982,HEBREW,ASSOCIATE
96,6,1983,HEBREW,ASSOCIATE
97,6,1984,HEBREW,ASSOCIATE
98,6,1985,HEBREW,PROFESSOR
99,6,1986,HEBREW,PROFESSOR
100,6,1987,HEBREW,PROFESSOR
101,6,1988,HEBREW,PROFESSOR
102,6,1989,HEBREW,PROFESSOR
103,6,1990,HEBREW,PROFESSOR
104,6,1991,HEBREW,PROFESSOR
105,6,1992,HEBREW,PROFESSOR
106,6,1993,HEBREW,PROFESSOR
107,6,1994,HEBREW,PROFESSOR
108,6,1995,HEBREW,PROFESSOR
109,6,1996,HEBREW,PROFESSOR
110,6,1997,HEBREW,PROFESSOR
111,6,1998,HEBREW,PROFESSOR
112,6,1999,HEBREW,PROFESSOR
113,6,2000,HEBREW,PROFESSOR
114,6,2001,HEBREW,PROFESSOR
115,6,2002,HEBREW,PROFESSOR
116,6,2003,HEBREW,PROFESSOR
117,6,2004,HEBREW,PROFESSOR
118,6,2005,HEBREW,PROFESSOR
119,6,2006,HEBREW,PROFESSOR
120,6,2007,HEBREW,PROFESSOR
121,6,2008,HEBREW,PROFESSOR
122,6,2009,HEBREW,PROFESSOR
123,7,1997,MIT,PHD
124,7,1998,MIT,PHD
125,7,1999,MIT,PHD
126,7,2000,MIT,PHD
127,7,2001,FED,ECONOMIST
128,7,2002,FED,ECONOMIST
129,7,2003,FED,ECONOMIST
130,7,2004,FED,ECONOMIST
131,7,2005,FED,ECONOMIST
132,7,2006,FED,SENIOR
133,8,1981,HARVARD,PHD
134,8,1982,HARVARD,PHD
135,8,1983,HARVARD,PHD
136,8,1984,HARVARD,PHD
137,8,1985,TORONTO,ASSISTANT
138,8,1986,TORONTO,ASSISTANT
139,8,1987,TORONTO,ASSISTANT
140,8,1988,TORONTO,ASSISTANT
141,8,1989,TORONTO,ASSISTANT
142,8,1990,TORONTO,ASSOCIATE
143,8,1991,TORONTO,ASSOCIATE
144,8,1992,TORONTO,ASSOCIATE
145,8,1993,TORONTO,ASSOCIATE
146,8,1994,TORONTO,PROFESSOR
147,8,1995,TORONTO,PROFESSOR
148,8,1996,TORONTO,PROFESSOR
149,8,1997,TORONTO,PROFESSOR
150,8,1998,TORONTO,PROFESSOR
151,8,1999,TORONTO,PROFESSOR
152,8,2000,TORONTO,PROFESSOR
153,8,2001,TORONTO,PROFESSOR
154,8,2002,TORONTO,PROFESSOR
155,8,2003,TORONTO,PROFESSOR
156,8,2004,TORONTO,PROFESSOR
157,8,2005,TORONTO,PROFESSOR
158,8,2006,TORONTO,PROFESSOR
159,9,1999,MINNESOTA,PHD
160,9,2000,MINNESOTA,PHD
161,9,2001,MINNESOTA,PHD
162,9,2002,MINNESOTA,PHD
163,9,2003,MIAMI,ASSISTANT
164,9,2004,MIAMI,ASSISTANT
165,9,2005,MIAMI,ASSISTANT
166,9,2006,MIAMI,ASSISTANT
